@delta,camera_id,suburb,street,offence_location,postcode,last_annual_test,last_annual_test_sortable,camera_type,certificate,site_type,reason,link,latitude,longitude,intersects_with,expiry_date,lga,commissioned_date,description,network,status,DJCS Comments,location
250,F60,Bell Park,Thompson Road,"Thompson Road, at the intersection of Thompson Road and Separation Street, Bell Park",3215,3/03/2026,3/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-05/F60-bell-park-intersection-of-thompson-rd-and-separation-st-camera-cert-030326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.110913,144.343349,Separation Street,3/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.110913,144.343349"
265,F73,Camberwell,Toorak Road,"Toorak Road, at the intersection of Toorak Road and Burke Road, Camberwell",3124,28/08/2025,28/08/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-09/F73_intersection-toorak-road-and-burke-road-camberwell-eastbound-camera-cert-280825.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.845736,145.054116,Burke Road,28/08/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.845736,145.054116"
267,F75,Glen Waverley,Blackburn Road,"Blackburn Road, at the intersection of Blackburn Road and High Street Road, Glen Waverley",3150,15/10/2025,15/10/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-01/F75-glen-waverley-intersection-blackburn-rd-and-high-street-rd-camera-cert-151025.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.872077,145.14845,High Street Road,15/10/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.872077,145.14845"
276,F84,Brunswick West,Melville Road,"Melville Road, at the intersection of Melville Road and Albion Street, Brunswick West",3055,22/10/2025,22/10/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-11/F84-brunswick-west-intersection-melville-road-and-albion-street-camera-cert-221025.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.758578,144.944926,Albion Street,22/10/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.758578,144.944926"
280,GB,Point Cook,"Princes Freeway, Geelong Bound","Princes Freeway, Geelong Bound, Point Cook, Forsyth Road Bridge",3030,1/12/2025,1/12/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/GB-point-cook-intersection-princess-fwy-and-forsyth-road-bridge-point-cook-camera-cert-011225.pdf,Freeway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.873428,144.737238,Forsyth Road Bridge,1/12/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.873428,144.737238"
285,GG,Williams Landing,"Princes Freeway, Melbourne Bound","Princes Freeway, Melbourne Bound, Williams Landing, Forsyth Road Bridge",3027,1/12/2025,1/12/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/GG-williams-landing-intersection-princess-fwy-forsyth-road-bridge-camera-cert-011225.pdf,Freeway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.87341,144.736371,Forsyth Road Bridge,1/12/2026,,,"Point-to-point safety cameras consist of a network of two or more cameras that work together as a system. They are placed at individual points along a stretch of road and can calculate whether a vehicle is speeding between the camera locations. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.87341,144.736371"
294,H72N,Broadford,"Hume Freeway, Northbound","Hume Freeway, Northbound, Broadford, 101 Metres south of Broadford-Flowerdale Road",3658,31/03/2026,31/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/H72N-hume-freeway-broadford-northbound-camera-cert-310326.pdf,Point-to-point,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.2074249,145.0686076,101 Metres south of Broadford-Flowerdale Road,31/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.2074249,145.0686076"
298,M11N,Glen Iris,"Monash Freeway, Northbound","Monash Freeway, Northbound, Glen Iris, approximately 290 metres South of High Street",3146,1/05/2026,1/05/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-05/M11NA-glen-iris-and-NB-monash-freeway-northbound-camera-cert-010526.pdf,Freeway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.862776,145.060078,approximately 290 metres South of High Street,1/05/2027,,,"Point-to-point safety cameras consist of a network of two or more cameras that work together as a system. They are placed at individual points along a stretch of road and can calculate whether a vehicle is speeding between the camera locations. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,Certs processed using only WO. Double check serial numbers when site is reactivated following resurfacing works.,"-37.862776,145.060078"
299,M11S,Glen Iris,"Monash Freeway, Southbound","Monash Freeway, Southbound, Glen Iris, approximately 470 metres South of High Street",3146,4/08/2026,4/08/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/M11S-glen-iris-monash-freeway-southbound-camera-cert-040826_0.pdf,Freeway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.864172,145.060628,approximately 470 metres South of High Street,4/08/2027,,,"Point-to-point safety cameras consist of a network of two or more cameras that work together as a system. They are placed at individual points along a stretch of road and can calculate whether a vehicle is speeding between the camera locations. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.864172,145.060628"
309,WB,Keilor Park,"Western Ring Road, Southbound","Western Ring Road, Southbound, Keilor Park, Fullarton Road Bridge",3042,19/04/2024,19/04/2024,Fixed Camera,https://content.vic.gov.au/sites/default/files/2024-05/WB-WRR-Fullarton-Road-Bridge-Keilor-Park-SB-camera-cert.pdf,Freeway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.726065,144.862085,Fullarton Road Bridge,19/04/2025,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,Long Term Deact,"-37.726065,144.862085"
